config,row_label,col_label,value_row_norm,value_col_norm
Hybrid-L15CA,Nerve,Ligament,0.0017094017094017094,0.0018115942028985507
Hybrid-L15CA,Nerve,Muscle,0.0017094017094017094,0.02127659574468085
Hybrid-L15CA,Nerve,Nerve,0.8581196581196581,0.9028776978417267
Hybrid-L15CA,Nerve,IntervertebralDiscHerniation,0.0,0.0
Hybrid-L15CA,Nerve,background,0.13675213675213677,0.32653061224489793
Hybrid-L15CA,IntervertebralDiscHerniation,IntervertebralDisc,0.010869565217391304,0.004166666666666667
Hybrid-L15CA,IntervertebralDiscHerniation,Skeleton,0.0,0.0
Hybrid-L15CA,IntervertebralDiscHerniation,Ligament,0.0,0.0
Hybrid-L15CA,IntervertebralDiscHerniation,Muscle,0.0,0.0
Hybrid-L15CA,IntervertebralDiscHerniation,Nerve,0.0,0.0
Hybrid-L15CA,IntervertebralDiscHerniation,IntervertebralDiscHerniation,0.8586956521739131,0.8586956521739131
Hybrid-L15CA,IntervertebralDiscHerniation,background,0.13043478260869565,0.04897959183673469
Hybrid-L15CA,background,IntervertebralDisc,0.11538461538461539,0.0625
Hybrid-L15CA,background,Skeleton,0.09230769230769231,0.07792207792207792
Hybrid-L15CA,background,Ligament,0.2846153846153846,0.06702898550724638
Hybrid-L15CA,background,Muscle,0.046153846153846156,0.1276595744680851
Hybrid-L15CA,background,Nerve,0.38461538461538464,0.08992805755395683
Hybrid-L15CA,background,IntervertebralDiscHerniation,0.07692307692307693,0.10869565217391304
Hybrid-L15CA,background,background,0.0,0.0
Full-Triplet,IntervertebralDisc,IntervertebralDisc,0.872,0.9083333333333333
Full-Triplet,IntervertebralDisc,Skeleton,0.0,0.0
Full-Triplet,IntervertebralDisc,Ligament,0.0,0.0
Full-Triplet,IntervertebralDisc,Muscle,0.0,0.0
Full-Triplet,IntervertebralDisc,Nerve,0.0,0.0
Full-Triplet,IntervertebralDisc,IntervertebralDiscHerniation,0.004,0.010869565217391304
Full-Triplet,IntervertebralDisc,background,0.124,0.12449799196787148
Full-Triplet,Skeleton,IntervertebralDisc,0.0,0.0
Full-Triplet,Skeleton,Skeleton,0.7528089887640449,0.8701298701298701
Full-Triplet,Skeleton,Ligament,0.0056179775280898875,0.0018115942028985507
Full-Triplet,Skeleton,Muscle,0.0056179775280898875,0.02127659574468085
Full-Triplet,Skeleton,Nerve,0.011235955056179775,0.0035971223021582736
Full-Triplet,Skeleton,IntervertebralDiscHerniation,0.0,0.0
Full-Triplet,Skeleton,background,0.2247191011235955,0.1606425702811245
