config,seed,class_name,map50_95
Full-Triplet,3,Skeleton,0.6022388584049618
Full-Triplet,3,Ligament,0.6444784543923017
Full-Triplet,3,Muscle,0.5712009462946581
Full-Triplet,3,Nerve,0.6172381342645209
Full-Triplet,3,Herniation,0.5117993465631275
Full-Triplet,4,Disc,0.626391375411199
Full-Triplet,4,Skeleton,0.5827813011303851
Full-Triplet,4,Ligament,0.6337766738363609
Full-Triplet,4,Muscle,0.5368175598422089
Full-Triplet,4,Nerve,0.6156572931866914
Full-Triplet,4,Herniation,0.5053499175768448
Full-Triplet,5,Disc,0.6318336851817334
Full-Triplet,5,Skeleton,0.5948340323973091
Full-Triplet,5,Ligament,0.6442425873594478
Full-Triplet,5,Muscle,0.5739251998781609
Full-Triplet,5,Nerve,0.6195280058447515
Full-Triplet,5,Herniation,0.5016301034456206
Full-Triplet,6,Disc,0.62344320309826
Full-Triplet,6,Skeleton,0.5873216285749387
Full-Triplet,6,Ligament,0.6385922002123416
Full-Triplet,6,Muscle,0.6113793261344952
Full-Triplet,6,Nerve,0.6136405315572773
Full-Triplet,6,Herniation,0.5034813857153531
Full-Triplet,7,Disc,0.6095457828471728
Full-Triplet,7,Skeleton,0.5946226954933245
Full-Triplet,7,Ligament,0.64130849377134
Full-Triplet,7,Muscle,0.600371600695782
Full-Triplet,7,Nerve,0.6175906566282534
Full-Triplet,7,Herniation,0.5255943270046103
Full-Triplet,8,Disc,0.6092919466462997
Full-Triplet,8,Skeleton,0.5761961957672451
Full-Triplet,8,Ligament,0.6373086722037259
Full-Triplet,8,Muscle,0.5699150079704404
Full-Triplet,8,Nerve,0.6165961714583426
Full-Triplet,8,Herniation,0.5026058949975909
Full-Triplet,9,Disc,0.6244962952099352
Full-Triplet,9,Skeleton,0.5850434233613822
Full-Triplet,9,Ligament,0.6425902377725585
Full-Triplet,9,Muscle,0.5803090687735691
Full-Triplet,9,Nerve,0.6170228773960258
Full-Triplet,9,Herniation,0.49391182470593964
Full-Triplet,10,Disc,0.6270735044798325
Full-Triplet,10,Skeleton,0.5909570969980861
Full-Triplet,10,Ligament,0.6347479372079846
