config,preprocess_ms,inference_ms,postprocess_ms,total_ms,fps
Baseline,0.20433612903207804,4.45290359447089,1.694870783409985,6.352110506912953,157.4279916748469
Hybrid-L15CA,0.21163225806415745,3.5977564976963987,1.2719001843324889,5.081288940093045,196.8004598419252
Full-CA,0.1979005529953028,3.050386820277415,1.3061114285709734,4.554398801843691,219.56794815491006
Full-Triplet,0.20980635944615306,3.42589843317954,1.4991543778791738,5.134859170504867,194.74730791919237
