config,seed,class_name,map50_95
L23-Triplet,2,Skeleton,0.5739795323895494
L23-Triplet,2,Ligament,0.6315390592567778
L23-Triplet,2,Muscle,0.5490107816231532
L23-Triplet,2,Nerve,0.6070775591020812
L23-Triplet,2,IntervertebralDiscHerniation,0.5088596941480528
L23-Triplet,3,IntervertebralDisc,0.6053104847005321
L23-Triplet,3,Skeleton,0.5825414933213211
L23-Triplet,3,Ligament,0.6371647001393701
L23-Triplet,3,Muscle,0.5839786796760429
L23-Triplet,3,Nerve,0.613428600512037
L23-Triplet,3,IntervertebralDiscHerniation,0.47404944221672185
L23-Triplet,4,IntervertebralDisc,0.6049486001562279
L23-Triplet,4,Skeleton,0.5673318934229745
L23-Triplet,4,Ligament,0.635457285994752
L23-Triplet,4,Muscle,0.5938876159387728
L23-Triplet,4,Nerve,0.6118755676941359
L23-Triplet,4,IntervertebralDiscHerniation,0.5070979443633503
L23-Triplet,5,IntervertebralDisc,0.6092743723672911
L23-Triplet,5,Skeleton,0.5914957127689695
L23-Triplet,5,Ligament,0.6359573154889528
L23-Triplet,5,Muscle,0.6093671896356628
L23-Triplet,5,Nerve,0.6167559901101348
L23-Triplet,5,IntervertebralDiscHerniation,0.4722949555205255
L23-Triplet,6,IntervertebralDisc,0.6003214555657052
L23-Triplet,6,Skeleton,0.572133832164922
L23-Triplet,6,Ligament,0.6216368161273153
L23-Triplet,6,Muscle,0.5737092991232529
L23-Triplet,6,Nerve,0.6053708162224776
L23-Triplet,6,IntervertebralDiscHerniation,0.4865226761304934
L23-Triplet,7,IntervertebralDisc,0.6114158884788434
L23-Triplet,7,Skeleton,0.576796522611666
L23-Triplet,7,Ligament,0.6283229546222471
L23-Triplet,7,Muscle,0.5727106806738649
L23-Triplet,7,Nerve,0.6119796002123913
L23-Triplet,7,IntervertebralDiscHerniation,0.49090802838585496
L23-Triplet,8,IntervertebralDisc,0.606990015716092
L23-Triplet,8,Skeleton,0.5608665575107721
L23-Triplet,8,Ligament,0.6264510790660789
L23-Triplet,8,Muscle,0.5871301188782051
L23-Triplet,8,Nerve,0.613206467723511
L23-Triplet,8,IntervertebralDiscHerniation,0.5015224530240557
L23-Triplet,9,IntervertebralDisc,0.598411489050575
L23-Triplet,9,Skeleton,0.583309585782384
L23-Triplet,9,Ligament,0.6415904452403068
L23-Triplet,9,Muscle,0.5747492941083105
L23-Triplet,9,Nerve,0.6185167043846878
L23-Triplet,9,IntervertebralDiscHerniation,0.4739828612230023
L23-Triplet,10,IntervertebralDisc,0.6002267772355396
L23-Triplet,10,Skeleton,0.5742057836263962
L23-Triplet,10,Ligament,0.6358099251714034
L23-Triplet,10,Muscle,0.5858494520115407
L23-Triplet,10,Nerve,0.6115319879553983
L23-Triplet,10,IntervertebralDiscHerniation,0.4991840258997719
L27-Triplet,1,IntervertebralDisc,0.5942306553095351
L27-Triplet,1,Skeleton,0.5719726771052324
L27-Triplet,1,Ligament,0.6273740999667576
L27-Triplet,1,Muscle,0.5437719783288266
L27-Triplet,1,Nerve,0.6064478527304672
L27-Triplet,1,IntervertebralDiscHerniation,0.49557865693573866
L27-Triplet,2,IntervertebralDisc,0.5960850583991679
L27-Triplet,2,Skeleton,0.5656736330488967
L27-Triplet,2,Ligament,0.6189363563256717
L27-Triplet,2,Muscle,0.558244164200624
L27-Triplet,2,Nerve,0.6057533220011642
L27-Triplet,2,IntervertebralDiscHerniation,0.48432275889670917
L27-Triplet,3,IntervertebralDisc,0.6058731063364512
L27-Triplet,3,Skeleton,0.5946166241084625
L27-Triplet,3,Ligament,0.63041150350715
L27-Triplet,3,Muscle,0.5857643135787612
L27-Triplet,3,Nerve,0.6173705779691234
L27-Triplet,3,IntervertebralDiscHerniation,0.5062350159473622
L27-Triplet,4,IntervertebralDisc,0.5926652742641162
L27-Triplet,4,Skeleton,0.5681849084423619
L27-Triplet,4,Ligament,0.6329546106829312
L27-Triplet,4,Muscle,0.5735813745900837
L27-Triplet,4,Nerve,0.6130058149371377
L27-Triplet,4,IntervertebralDiscHerniation,0.5010540482410313
L27-Triplet,5,IntervertebralDisc,0.5829837680470522
L27-Triplet,5,Skeleton,0.5558829358915981
L27-Triplet,5,Ligament,0.6172218683454759
L27-Triplet,5,Muscle,0.5525660679676752
L27-Triplet,5,Nerve,0.6017737022053549
L27-Triplet,5,IntervertebralDiscHerniation,0.4621216967474081
L27-Triplet,6,IntervertebralDisc,0.6072190597799143
L27-Triplet,6,Skeleton,0.5645184081100755
L27-Triplet,6,Ligament,0.6362793885557149
L27-Triplet,6,Muscle,0.5624895388878671
L27-Triplet,6,Nerve,0.611280997998794
L27-Triplet,6,IntervertebralDiscHerniation,0.4671904844019852
L27-Triplet,7,IntervertebralDisc,0.5929493991403965
L27-Triplet,7,Skeleton,0.5480443084813941
L27-Triplet,7,Ligament,0.6181992554710842
L27-Triplet,7,Muscle,0.5711761048487408
L27-Triplet,7,Nerve,0.6072990377542378
L27-Triplet,7,IntervertebralDiscHerniation,0.48312524116788697
L27-Triplet,8,IntervertebralDisc,0.5850869818082136
L27-Triplet,8,Skeleton,0.524535094817947
L27-Triplet,8,Ligament,0.6241520339191283
L27-Triplet,8,Muscle,0.5522250483289091
L27-Triplet,8,Nerve,0.6037941550643224
L27-Triplet,8,IntervertebralDiscHerniation,0.4770613124254089
L27-Triplet,9,IntervertebralDisc,0.6022107827374905
L27-Triplet,9,Skeleton,0.5639349582357496
L27-Triplet,9,Ligament,0.6401503412595203
L27-Triplet,9,Muscle,0.5950219303804817
L27-Triplet,9,Nerve,0.618510723181579
L27-Triplet,9,IntervertebralDiscHerniation,0.4796518115084575
L27-Triplet,10,IntervertebralDisc,0.6047624868962324
L27-Triplet,10,Skeleton,0.5886421404406194
L27-Triplet,10,Ligament,0.6375615951804663
L27-Triplet,10,Muscle,0.5912452753979989
L27-Triplet,10,Nerve,0.6125965986014352
L27-Triplet,10,IntervertebralDiscHerniation,0.5099975191303947
Hybrid-MSCA,1,IntervertebralDisc,0.6096536252370551
Hybrid-MSCA,1,Skeleton,0.5641803888623964
Hybrid-MSCA,1,Ligament,0.631979579395137
Hybrid-MSCA,1,Muscle,0.5908419000356069
Hybrid-MSCA,1,Nerve,0.6062149137497032
Hybrid-MSCA,1,IntervertebralDiscHerniation,0.4636098433978365
Hybrid-MSCA,2,IntervertebralDisc,0.6043592405665613
Hybrid-MSCA,2,Skeleton,0.5824869639216146
Hybrid-MSCA,2,Ligament,0.6388429240112518
Hybrid-MSCA,2,Muscle,0.5940144256771899
Hybrid-MSCA,2,Nerve,0.6118824760648798
Hybrid-MSCA,2,IntervertebralDiscHerniation,0.5088695512611462
Hybrid-MSCA,3,IntervertebralDisc,0.6179640122990938
Hybrid-MSCA,3,Skeleton,0.5855778599119934
Hybrid-MSCA,3,Ligament,0.6495016712820678
Hybrid-MSCA,3,Muscle,0.5764183978249847
Hybrid-MSCA,3,Nerve,0.6148100161938505
Hybrid-MSCA,3,IntervertebralDiscHerniation,0.5193671245085216
Hybrid-MSCA,4,IntervertebralDisc,0.6202658364177891
Hybrid-MSCA,4,Skeleton,0.5859174994806706
Hybrid-MSCA,4,Ligament,0.6386952977096725
Hybrid-MSCA,4,Muscle,0.6120505838173098
Hybrid-MSCA,4,Nerve,0.6128164447317594
Hybrid-MSCA,4,IntervertebralDiscHerniation,0.49505744092433907
Hybrid-MSCA,5,IntervertebralDisc,0.6123384244585781
Hybrid-MSCA,5,Skeleton,0.5979865316225621
Hybrid-MSCA,5,Ligament,0.6379648847257015
Hybrid-MSCA,5,Muscle,0.5876072335219105
Hybrid-MSCA,5,Nerve,0.6128774626443463
Hybrid-MSCA,5,IntervertebralDiscHerniation,0.504838145914673
Hybrid-MSCA,6,IntervertebralDisc,0.6189359084750043
Hybrid-MSCA,6,Skeleton,0.5729440150285511
Hybrid-MSCA,6,Ligament,0.6346852433781166
Hybrid-MSCA,6,Muscle,0.5890958080036797
Hybrid-MSCA,6,Nerve,0.6139646372784013
Hybrid-MSCA,6,IntervertebralDiscHerniation,0.49948883894310525
Hybrid-MSCA,7,IntervertebralDisc,0.6110739313146378
Hybrid-MSCA,7,Skeleton,0.5732668433580553
Hybrid-MSCA,7,Ligament,0.6301718954365436
Hybrid-MSCA,7,Muscle,0.6143399781592991
Hybrid-MSCA,7,Nerve,0.616508983670333
Hybrid-MSCA,7,IntervertebralDiscHerniation,0.49104303323356613
Hybrid-MSCA,8,IntervertebralDisc,0.6144262486405082
Hybrid-MSCA,8,Skeleton,0.57822263757994
Hybrid-MSCA,8,Ligament,0.6339187063915483
Hybrid-MSCA,8,Muscle,0.5438169029013383
Hybrid-MSCA,8,Nerve,0.6188541506326735
Hybrid-MSCA,8,IntervertebralDiscHerniation,0.5097297786515151
Hybrid-MSCA,9,IntervertebralDisc,0.6042350329495835
Hybrid-MSCA,9,Skeleton,0.5844997949481094
Hybrid-MSCA,9,Ligament,0.6431903183854526
Hybrid-MSCA,9,Muscle,0.5969620822875447
Hybrid-MSCA,9,Nerve,0.6111382852810208
Hybrid-MSCA,9,IntervertebralDiscHerniation,0.4913274307068531
Hybrid-MSCA,10,IntervertebralDisc,0.6144227228348447
Hybrid-MSCA,10,Skeleton,0.585116552624361
Hybrid-MSCA,10,Ligament,0.6399138138877898
Hybrid-MSCA,10,Muscle,0.5803855753492072
Hybrid-MSCA,10,Nerve,0.6091671424415004
Hybrid-MSCA,10,IntervertebralDiscHerniation,0.5080558580823114
Hybrid-ECA,1,IntervertebralDisc,0.6062595738601426
Hybrid-ECA,1,Skeleton,0.5760024713822048
Hybrid-ECA,1,Ligament,0.6339805451248474
Hybrid-ECA,1,Muscle,0.5802742988472074
Hybrid-ECA,1,Nerve,0.6191774391708552
Hybrid-ECA,1,IntervertebralDiscHerniation,0.4956681994265645
Hybrid-ECA,2,IntervertebralDisc,0.6173641837333406
Hybrid-ECA,2,Skeleton,0.5833467894605046
Hybrid-ECA,2,Ligament,0.6414141977677719
Hybrid-ECA,2,Muscle,0.5550041255854494
Hybrid-ECA,2,Nerve,0.6143714063969143
Hybrid-ECA,2,IntervertebralDiscHerniation,0.5174741750138032
Hybrid-ECA,3,IntervertebralDisc,0.6263369703968562
Hybrid-ECA,3,Skeleton,0.5838677669317487
Hybrid-ECA,3,Ligament,0.6441959415338621
Hybrid-ECA,3,Muscle,0.6051796172728452
Hybrid-ECA,3,Nerve,0.6219623930838738
Hybrid-ECA,3,IntervertebralDiscHerniation,0.5040388978332558
Hybrid-ECA,4,IntervertebralDisc,0.6092293305624257
Hybrid-ECA,4,Skeleton,0.5855164165219815
Hybrid-ECA,4,Ligament,0.6415438143133978
Hybrid-ECA,4,Muscle,0.5843108414956564
Hybrid-ECA,4,Nerve,0.6134182150458198
Hybrid-ECA,4,IntervertebralDiscHerniation,0.4981835393944635
Hybrid-ECA,5,IntervertebralDisc,0.6103737664170328
Hybrid-ECA,5,Skeleton,0.5853966744611035
Hybrid-ECA,5,Ligament,0.6442386851518257
Hybrid-ECA,5,Muscle,0.5582304090698236
Hybrid-ECA,5,Nerve,0.6157043076232143
Hybrid-ECA,5,IntervertebralDiscHerniation,0.5235335269603002
Hybrid-ECA,6,IntervertebralDisc,0.6050107833237546
Hybrid-ECA,6,Skeleton,0.5719740942851154
Hybrid-ECA,6,Ligament,0.6277538345561023
Hybrid-ECA,6,Muscle,0.5628080111288769
Hybrid-ECA,6,Nerve,0.6128155745724169
Hybrid-ECA,6,IntervertebralDiscHerniation,0.47497389260844036
Hybrid-ECA,7,IntervertebralDisc,0.6025540670810894
Hybrid-ECA,7,Skeleton,0.5788933469102504
Hybrid-ECA,7,Ligament,0.6355822595001965
Hybrid-ECA,7,Muscle,0.5971988207670423
Hybrid-ECA,7,Nerve,0.6214067668399774
Hybrid-ECA,7,IntervertebralDiscHerniation,0.4932583043004778
Hybrid-ECA,8,IntervertebralDisc,0.6089589684810076
Hybrid-ECA,8,Skeleton,0.57878384285594
Hybrid-ECA,8,Ligament,0.6359531661604125
Hybrid-ECA,8,Muscle,0.5459121451274245
Hybrid-ECA,8,Nerve,0.6085704128364147
Hybrid-ECA,8,IntervertebralDiscHerniation,0.48646542685542515
Hybrid-ECA,9,IntervertebralDisc,0.6213623666039446
Hybrid-ECA,9,Skeleton,0.5907467526322037
Hybrid-ECA,9,Ligament,0.6482167322763791
Hybrid-ECA,9,Muscle,0.5709145462658415
Hybrid-ECA,9,Nerve,0.6163576245771099
Hybrid-ECA,9,IntervertebralDiscHerniation,0.5071995256092159
Hybrid-ECA,10,IntervertebralDisc,0.6162668277944572
Hybrid-ECA,10,Skeleton,0.589932149803559
Hybrid-ECA,10,Ligament,0.6377295397375841
Hybrid-ECA,10,Muscle,0.5497556060525801
Hybrid-ECA,10,Nerve,0.6101439489624901
Hybrid-ECA,10,IntervertebralDiscHerniation,0.5122746287029711
Hybrid-L27CA,1,IntervertebralDisc,0.598464862781503
Hybrid-L27CA,1,Skeleton,0.5881507460714889
Hybrid-L27CA,1,Ligament,0.6293752557987272
Hybrid-L27CA,1,Muscle,0.5650594675815893
Hybrid-L27CA,1,Nerve,0.6108921626376399
Hybrid-L27CA,1,IntervertebralDiscHerniation,0.4778484101701729
Hybrid-L27CA,2,IntervertebralDisc,0.6220198910639192
Hybrid-L27CA,2,Skeleton,0.5772541258068307
Hybrid-L27CA,2,Ligament,0.6279864662709947
Hybrid-L27CA,2,Muscle,0.5598119721195838
Hybrid-L27CA,2,Nerve,0.6149082683750864
Hybrid-L27CA,2,IntervertebralDiscHerniation,0.5139328661210044
Hybrid-L27CA,3,IntervertebralDisc,0.6281429894316038
Hybrid-L27CA,3,Skeleton,0.5877453262207061
Hybrid-L27CA,3,Ligament,0.641208654545084
Hybrid-L27CA,3,Muscle,0.5864385899651744
Hybrid-L27CA,3,Nerve,0.6191365137483738
Hybrid-L27CA,3,IntervertebralDiscHerniation,0.523749995579012
Hybrid-L27CA,4,IntervertebralDisc,0.6311664460536472
Hybrid-L27CA,4,Skeleton,0.5885380498492527
Hybrid-L27CA,4,Ligament,0.6419287509593292
Hybrid-L27CA,4,Muscle,0.585865067903786
Hybrid-L27CA,4,Nerve,0.608618152943471
